seller,product_count,avg_rate,total_reviews
نایس پرفیوم,44,76.5909090909091,6267
رایان بیوتی,122,76.59016393442623,35347
مشیرخلوت,41,76.58536585365853,15150
عنصر تکنیک,28,76.57142857142857,2232
هلدینگ داهال,67,76.56716417910448,5888
چسبچی,120,76.56666666666666,38950
اکسسوری شاران,270,76.56296296296296,13213
آماتیس مارکت,25,76.56,1229
فامیلی شاپ,62,76.54838709677419,12950
دریان سهند,48,76.54166666666667,1516
پندار کالا ,25,76.48,602
پاویژ,150,76.46666666666667,2715
فروشگاه الفبت,163,76.42944785276073,24811
گالری ویکتوریا,103,76.40776699029126,904
کافه بهداشتی,381,76.39895013123359,93211
پخش پرهام,48,76.375,1535
مانا گستر فرداد,22,76.36363636363636,1774
پارمیس کالا,83,76.36144578313252,12909
جویینه,23,76.34782608695652,1712
دیاکو شاپ لند,41,76.34146341463415,1524
تولیدی رادین,77,76.31168831168831,12537
بنو پخش,36,76.27777777777777,5080
تحریرام,38,76.26315789473684,4261
هنر گستر,260,76.18461538461538,20685
آریان نخ باف,346,76.16763005780346,36598
مکث استور,24,76.16666666666667,2031
استرپلاس,25,76.16,3029
انتشارات ایرانشناسی,25,76.16,115
 آنی تویز,276,76.15217391304348,48201
کمپینگ شاپینگ,33,76.12121212121212,7782
نیک افراز,24,76.08333333333333,2204
فرآراد,317,76.0,16358
بی بی گیفت,87,75.97701149425288,3499
دونیک اسپرت,46,75.95652173913044,4189
جاسمین گالری,39,75.94871794871794,311
آژن,36,75.94444444444444,8404
آ اند آ,147,75.93197278911565,4655
دست سازهای ام بی,37,75.89189189189189,644
تولید پوشاک زیر آوین,26,75.84615384615384,8438
سلامت و زيبايي,23,75.82608695652173,212
آرام طب,41,75.8048780487805,5634
نوین پارس تجارت,70,75.8,2750
آث میلان,31,75.74193548387096,15017
مامزی,166,75.67469879518072,31004
سرزمین ورزشی,30,75.66666666666667,7061
بهین تجهیزات مدرن,50,75.64,19961
ایران کتاب نوین,220,75.60909090909091,2212
هومان سنتر,24,75.58333333333333,5949
پخش سایه,33,75.57575757575758,6957
بست بوک,96,75.5625,3780
الهی نامه,84,75.54761904761905,18117
گیم گالری,44,75.54545454545455,15088
چکاد پخش,34,75.52941176470588,1345
تولیدی کیان تن پوش,140,75.52857142857142,4614
کارپت لند,69,75.47826086956522,3786
 مه در,23,75.47826086956522,124
تحریر پیکاسو,30,75.46666666666667,968
اذرین شاپ,21,75.42857142857143,354
واژ مارکت,29,75.37931034482759,3314
هایپرکالای خودمون,23,75.30434782608695,1820
کارنوصنعت,38,75.26315789473684,2697
مونلایت استور,27,75.25925925925925,7223
آیلین تجارت,26,75.23076923076923,797
توریث,110,75.21818181818182,5517
راسکال,340,75.21764705882353,69192
الیما شاپ,23,75.21739130434783,124
فروشگاه دولایک,26,75.15384615384616,728
پرکاس,73,75.15068493150685,1534
هیلدا بیوتی,21,75.14285714285714,14150
پوشاک کژین,62,75.09677419354838,3272
تحریر سرو,21,75.04761904761905,1478
استودیو میکاپ,91,74.98901098901099,3347
تولیدی تکوین,67,74.98507462686567,5061
آرکی,31,74.96774193548387,185
 حراجکده,160,74.9375,37361
صیدوشکاراسکار,22,74.81818181818181,415
افسرده,323,74.81114551083591,55597
تحریر هلیا,78,74.7948717948718,3806
گروه تکسان,41,74.78048780487805,12662
هومان,272,74.75735294117646,25446
ریو استور,52,74.73076923076923,2093
آذردنیز,58,74.72413793103448,4643
پات پلاس,45,74.71111111111111,1480
کتابفروشی وطن,26,74.6923076923077,414
 آلماپرایم سپه,21,74.66666666666667,305
دکتر فیلتر,43,74.65116279069767,1047
کفش فطرس,34,74.6470588235294,1273
ارشد,59,74.61016949152543,4169
ساتیان,86,74.5813953488372,6914
ارایشی ایلین,21,74.57142857142857,244
درجه یک,136,74.54411764705883,8589
فروشگاه جنت,321,74.52959501557632,35212
نشر وب,173,74.52023121387283,18905
استیکر بازار,125,74.48,2019
سیب نارنجی,277,74.4476534296029,6350
پخش هادی,59,74.44067796610169,24643
کفش بانو,28,74.42857142857143,1342
چوب های آبرنگی,24,74.41666666666667,692
فروشگاه میلاد مجید,150,74.4,8381
دریادشت,108,74.31481481481481,11485
آواگراف,110,74.30909090909091,658
پخش نقش جهان,123,74.3089430894309,1518
مکس فور,510,74.29803921568627,30266
درماکده,104,74.28846153846153,69111
سلاطین,36,74.27777777777777,5750
تحریر ملل,229,74.2707423580786,52083
نگین زیبا,24,74.25,6296
پخش ریحانه,40,74.2,5241
فروشگاه مدرن اسپرت,20,74.2,1060
ویرا بردگیم,20,74.2,761
پارسیان نیک هستی,877,74.17103762827823,143717
کیهان سنتر کالا,48,74.16666666666667,6015
بهکات یونیک,35,74.11428571428571,1822
فروشگاه آرشاک,20,74.1,973
پارسی اکسسوری,20,74.1,3491
ایران فامیلی شاپ,20,74.1,9852
کیسان  آذین,24,74.08333333333333,2118
دانیار مارکت,99,74.06060606060606,5312
نباتی استور,36,74.05555555555556,1132
آوا کفش,38,74.05263157894737,344
ایران  استودیو,78,74.05128205128206,1385
پخش چهره,43,74.0,3886
شهرزادبانوکالا,99,73.97979797979798,34046
بارادانا,90,73.97777777777777,5426
قانونمدار,79,73.92405063291139,5137
الین دخت,21,73.9047619047619,1020
پرن اپوکسی,37,73.89189189189189,658
تحریر پلاس,36,73.88888888888889,4311
دیباست,75,73.84,599
تحریر سنتر ایفل,21,73.80952380952381,1795
لوازم التحریر اسکندری,48,73.79166666666667,908
طلوع بازی,45,73.77777777777777,2968
کتاب نگاران,134,73.77611940298507,9087
همراه مارکتز,26,73.76923076923077,735
