category1,product_count,avg_price,price_stddev,coeff_of_variation
دستگاه بخور و رطوبت ساز,412,15234492,16992119.53390565,1.12
کتاب هنر و سرگرمی,4860,1299031,1448599.0061023643,1.12
بهداشت جنسی,1200,1142316,1282437.5543994338,1.12
اصلاح موی بدن آقایان,55,18424745,20398666.670496058,1.11
مستند,46,1118804,1226251.825135173,1.1
حمام آلتراسونیک,21,211444761,232649658.55592927,1.1
کلاژ، پوست و فرش رنگ شده,930,31191857,34449859.15402023,1.1
لوازم آشپزخانه سنتی,172,2333166,2533236.363634777,1.09
کتاب کودک و نوجوان,14489,621199,678324.6726239814,1.09
زیورآلات طلا بچگانه,2541,11556690,12530525.589173103,1.08
نمایشگر ضربان قلب,60,33428753,35666728.45017417,1.07
پویا نمایی (انیمیشن),380,328415,350235.3099848134,1.07
ابزار کار هنری و دستی,1688,1730165,1810549.115399721,1.05
تشک کودک و نوزاد,124,4283987,4500104.771372339,1.05
البسه طبی و پزشکی,342,1686953,1740933.2475622466,1.03
لوازم جانبی ساعت و مچ بند هوشمند,9312,1067232,1097093.6316036077,1.03
کتاب زبان,2561,1325691,1349356.4618080577,1.02
محافظ و پد سینه,80,1290257,1303375.0701009897,1.01
پانسمان عمومی,16,5251187,5321257.2351372,1.01
سشوار,706,19200670,19272123.198704872,1.0
عطر جیبی,3397,1490573,1482930.4332011396,0.99
استریل، گرم و خشک کننده شیشه شیر,33,20045666,19798540.515443724,0.99
نوزاد,15448,2081333,2062693.465372692,0.99
کیک و شیرینی خانگی,490,1551269,1509909.3324077385,0.97
آموزش زبان,154,1754377,1685891.7565113064,0.96
صندلی غذاخوری کودک و نوزاد,112,38161928,36120706.800152734,0.95
لوازم جانبی تست قند خون,85,3270032,3060695.1793742576,0.94
ماسک و لوازم جانبی ماسک,376,776576,733169.6162354113,0.94
کوسن کودک,849,1333033,1233224.052727355,0.93
سرویس خواب کودک و نوزاد,661,7575970,6957443.112474519,0.92
آغوشی,79,4499113,4130224.799827647,0.92
ابزار مراقبت پا,1324,1168960,1057530.9161597465,0.9
فیلم سینمایی,74,210254,190232.82648115896,0.9
محصولات فلزی,3140,13042299,11753235.389220469,0.9
موسیقی بی‌کلام,872,1333648,1195359.4137659427,0.9
صبحانه محلی,869,2434530,2156720.3806029977,0.89
کتاب درسی، کمک‌درسی و آزمون,5290,1845148,1626072.473527325,0.88
گهواره,76,37253057,32574824.77601484,0.87
تنقلات خانگی,1035,1981460,1714536.2982236187,0.87
بالش شیردهی,193,3438893,2998374.516996358,0.87
کتاب علوم اجتماعی,6520,1160282,996734.5547742223,0.86
تشک و پتوی برقی,95,20608617,17712802.51923209,0.86
لوازم جانبی گردش و سفر کودک و نوزاد,52,4348173,3758858.1689341376,0.86
پستانک و ملزومات,543,1785748,1534378.9273956052,0.86
اسپری,2097,1215440,1048404.1807973263,0.86
بیگودی و فر کننده ی مو,213,14302774,12086186.263844945,0.85
شیشه شیر، سرلاک و داروخوری,537,4313894,3668417.013168765,0.85
بهداشت و نگهداری کودک,116,774920,651814.1270821522,0.84
قمقمه و فلاسک کودک و نوزاد,617,2996948,2522418.602628294,0.84
اصلاح موی گوش، بینی و ابرو,140,5217437,4386341.811182497,0.84
تب سنج و دماسنج,38,10466805,8809641.34454014,0.84
سازهای افکت,55,7375727,6165831.506373099,0.84
مانیتور و پیجر اتاق کودک و نوزاد,40,62414895,52581201.31676655,0.84
چادر بازی کودک,121,8005195,6636727.173695339,0.83
عطر و ادکلن کودکان,123,1228070,1017004.3646223627,0.83
غیر خوراکی,454,1834169,1529391.171687696,0.83
تزئینات اتاق کودک,1649,2021475,1661968.9158161234,0.82
کتاب فلسفه و روانشناسی,8915,1074142,870878.6918973259,0.81
ترشیجات و شور خانگی,295,899634,720807.8026787924,0.8
صندلی خودرو کودک و نوزاد,65,88259769,70411335.62652776,0.8
ضد تعریق,1816,1649219,1300687.8572388787,0.79
بازی های کامپیوتری,766,531559,406684.033421253,0.77
لبنیات سنتی,150,1131334,869599.8902395848,0.77
ملزومات شیشه شیر,193,2838376,2164838.3015904767,0.76
روفرشی و پشتی,451,6983590,5144982.591106942,0.74
آموزش نرم‌افزار و کامپیوتر,936,1912516,1402244.113175033,0.73
آویز تخت کودک,395,6004516,4413234.66291911,0.73
لوازم جانبی فرش و ابزار فرش,1324,29043911,21007886.43096715,0.72
