seller,total_products,fake_count,fake_percent
عطر دستان,25,0,0.0
عطر و ادکلن لیلیوم,201,0,0.0
فرهنگسرای ماهور,28,0,0.0
فروشگاه آر ان اس,480,0,0.0
فروشگاه آفتابگردان,24,0,0.0
فروشگاه آویده,33,0,0.0
فرش اعظمی تبریز,21,0,0.0
فرش مدرن امیرخیز,68,0,0.0
فرش يزدان,31,0,0.0
فروشگاه بامتی,288,0,0.0
فروشگاه بندرشهر,57,0,0.0
فروشگاه پاییزان,68,0,0.0
فروشگاه پوشاک پریا,24,0,0.0
فروشگاه پوشاک تاپیک,30,0,0.0
فروشگاه پیام عدالت,50,0,0.0
فروشگاه تاران,134,0,0.0
سیسمونی,44,0,0.0
سیلیکون گیفت,41,0,0.0
سیمارو,132,0,0.0
سورفین,24,0,0.0
سورلا گالری,39,0,0.0
سورلان,39,0,0.0
سوفی اکسسوری,48,0,0.0
سوئیس گالری ملل,136,0,0.0
سفیاه,142,0,0.0
شایا تجارت,355,0,0.0
شهر فیگور,220,0,0.0
شروین پخش,193,0,0.0
شرکت آدولف,34,0,0.0
شرکت سحاب تجارت اسپادانا,118,0,0.0
شرکت محور پاسارگاد ماشین,34,0,0.0
سیوارو شاپ,23,0,0.0
شاپ شید,58,0,0.0
شادرنگ,122,0,0.0
شادیا تویز,280,0,0.0
شاران هوم,61,0,0.0
شازار,50,0,0.0
ساسا یاشام,29,0,0.0
سالسابیوتی,264,0,0.0
سالنی لند,27,0,0.0
سامی مد,28,0,0.0
سان مد,33,0,0.0
سانگبوکلیمی,36,0,0.0
ساواش,162,0,0.0
سپنتاافزار,62,0,0.0
سپیدرو,24,0,0.0
ستیا حجاب,28,0,0.0
سحرانا,245,0,0.0
سحرمدیکال,35,0,0.0
سلامتی و زیبایی اس پی کی,25,0,0.0
سلین,233,0,0.0
سلین سنتر,43,0,0.0
سلین کالا پلاس,359,0,0.0
سما استور,146,0,0.0
سماگالری سما,82,0,0.0
سنتربیوتی,22,0,0.0
سنجاقک نوت,23,0,0.0
سنگ پارسیان,79,0,0.0
سنگ فرش,82,0,0.0
سرزمین گالری,48,0,0.0
سرتاب,71,0,0.0
سررسید پدیده نقش,53,0,0.0
سرزمین تخفیفات ,20,0,0.0
تولیدی بازرگانی کارن,47,0,0.0
تولیدی ثمین تنپوش,20,0,0.0
تولیدی کاژین,47,0,0.0
تولیدی کیان تن پوش,140,0,0.0
توکاسنتر,98,0,0.0
تویز کیدز فانی,55,0,0.0
تویلند گیشا,207,0,0.0
تنپوش رورو,20,0,0.0
تندیس سبلان,21,0,0.0
تندیس کودک,53,0,0.0
تورگالری,37,0,0.0
توسعه تجارت خورشید,32,0,0.0
توسعه کالای دماوند,191,0,0.0
توسعه کتاب,62,0,0.0
تولید و پخش امیران ,89,0,0.0
تحریرمهراد,36,0,0.0
تخفیف لند رام,63,0,0.0
ترانه بارانا,26,0,0.0
تجسم یک هنر,23,0,0.0
تجهیزات پزشکی خانه سلامت,25,0,0.0
تحریر آوان,48,0,0.0
تحریر بازار,48,0,0.0
تحریر برگ,26,0,0.0
تریکو آذران,28,0,0.0
تشک شاپ,24,0,0.0
تن تاو ماه,957,0,0.0
تن سا,203,0,0.0
تن سلامت,221,0,0.0
تیکاپلاس,21,0,0.0
ثقفیان,27,0,0.0
ثن سین,20,0,0.0
تکتین فیت,69,0,0.0
تکسل,22,0,0.0
تکنولوژی آموزشی فکور,51,0,0.0
تی تی بوک,37,0,0.0
جاویدشایان,29,0,0.0
جلوه آیات,46,0,0.0
جهان علم,78,0,0.0
تیدا کندل,27,0,0.0
جانان مد,22,0,0.0
جی بی جو,98,0,0.0
جی تی هوگرو,214,0,0.0
جین مد,64,0,0.0
جینگولیات با نیل,27,0,0.0
چاپ آجه,72,0,0.0
جوراب کایرا,47,0,0.0
جومانجی,34,0,0.0
چاپ و طراحی کاربن,54,0,0.0
چرم رودکی,28,0,0.0
چرم سيال پاسارگاد,66,0,0.0
چرم شیفر,148,0,0.0
پازل کیان,77,0,0.0
پاستل گالرئ,55,0,0.0
پالوته,34,0,0.0
پامارو,37,0,0.0
پایتخت نوین,57,0,0.0
پایون توزیع کالا,60,0,0.0
پاییز تحریر,75,0,0.0
پخش آبگینه,562,0,0.0
پخش آرایشی بیوتی,133,0,0.0
بی بی گیفت,87,0,0.0
بیانکا بوتیک,2127,0,0.0
پخش چهره,43,0,0.0
پخش دامن,186,0,0.0
پخش مرکزی آسمان,90,0,0.0
پخش کوشایی,67,0,0.0
پرانسیس بیوتی,37,0,0.0
پرتو آبی,144,0,0.0
پرتی لیدی,21,0,0.0
پرستیژ ایران,37,0,0.0
پرشیا استار مد,86,0,0.0
پرفیموس,188,0,0.0
پرگل گالری,78,0,0.0
پکویو,20,0,0.0
پیشتاز سلامت,732,0,0.0
پینک گارد,44,0,0.0
پیک اسپرت,79,0,0.0
پیکسل تک,54,0,0.0
تاج پلاس,43,0,0.0
تاچل,43,0,0.0
تجارت صدف,201,0,0.0
تاکتیک اسپورت,36,0,0.0
تاکو,33,0,0.0
پرن ساری,63,0,0.0
پرهام نیل,32,0,0.0
پروشات آرت,36,0,0.0
پروندبوم,33,0,0.0
پرکاس,73,0,0.0
پزشکی بهراد طب,57,0,0.0
پزشکی نبض,27,0,0.0
پزشکی هدف درمان,20,0,0.0
پگاه کالکشن,21,0,0.0
پورکاوه استور,53,0,0.0
پوشاک بانوان ابریشم,142,0,0.0
پوشاک نجبا,25,0,0.0
پوشاک نکیسا,50,0,0.0
پوشاک کودک سناتور,28,0,0.0
پویش اندیشه,81,0,0.0
زی گروپ,602,0,0.0
سا رار,51,0,0.0
ژیوا,65,0,0.0
ژولانیک,83,0,0.0
ژینا طب,108,0,0.0
رویال ویژن,33,0,0.0
رویالتیم,39,0,0.0
رویای سلامت,39,0,0.0
ریبتن,51,0,0.0
ریسه گالری,528,0,0.0
ریش تراش مدرن,87,0,0.0
ریماز گالری,24,0,0.0
ریو استور,52,0,0.0
زاشادو,33,0,0.0
زودبوک,40,0,0.0
رویال چرم,98,0,0.0
زربای,31,0,0.0
زرسین,33,0,0.0
رامسر شاپ,27,0,0.0
راه مدرسه,371,0,0.0
راویتا پلاس,26,0,0.0
رایان بیوتی,122,0,0.0
رایان پخش,25,0,0.0
دیلی و برادران,139,0,0.0
دیمو بگ,54,0,0.0
راداتحریر,22,0,0.0
رنگی رنگی لند,44,0,0.0
رخ سیما,45,0,0.0
رز قرمز,85,0,0.0
رزالیاگالری,145,0,0.0
رهاوود,39,0,0.0
روپاک تجارت,23,0,0.0
روشینا موزیک,52,0,0.0
روغنکده بکلی,69,0,0.0
رودریگز مارکت,44,0,0.0
روزینس,87,0,0.0
چیچک آرت,36,0,0.0
چرم کن آ,376,0,0.0
چهرازی استور,107,0,0.0
چوب نارنج,39,0,0.0
حبیبان,44,0,0.0
حریق سبز,43,0,0.0
حسینی مارکت,20,0,0.0
حله,69,0,0.0
حما,29,0,0.0
خانه ایکی,22,0,0.0
خانه فرهنگ و هنر گویا,200,0,0.0
خانه لگو,98,0,0.0
خندالو,7687,0,0.0
خوبان جنوب,96,0,0.0
داتیس,79,0,0.0
داتیس گالری,95,0,0.0
داروخانه آنلاین دارومن,58,0,0.0
دالاوان,253,0,0.0
دایا استور,46,0,0.0
دایمون شاپ,29,0,0.0
دخمه,23,0,0.0
درسان گالری,30,0,0.0
دسار,22,0,0.0
دست سازه مژگان,107,0,0.0
دست سازه نیلگون,21,0,0.0
دست سازه ی مریم,27,0,0.0
دست سازهای هنری سپهر,23,0,0.0
دورهمی گیم,67,0,0.0
دوست خوب,264,0,0.0
دوگتا,33,0,0.0
دولت علم,35,0,0.0
دیان استور,58,0,0.0
دیج گیم,124,0,0.0
دیجتال مارکت,54,0,0.0
دکادو,172,0,0.0
دکودنت,47,0,0.0
دکوماتوس,30,0,0.0
دنیای کمپ عالیجناب,45,0,0.0
دهکده آنیتا,31,0,0.0
دهکده سبزسلامت,123,0,0.0
دنیای ساعت شایان,32,0,0.0
دنیای سلامتی زیبایی,82,0,0.0
دنیای لباس مهراد,31,0,0.0
دنیای کاترین,116,0,0.0
دل تافته,61,0,0.0
خانوم حنا,25,0,0.0
دلتاکالا,20,0,0.0
دلشاد مارکت,38,0,0.0
دلنار گالری,776,0,0.0
آرمان پرداز,87,0,0.0
آرن بیبی شاپ,21,0,0.0
آرکا تجارت بیستون آراد,31,0,0.0
آرایشی و بهداشتی بهاران,117,0,0.0
آرت اسکای,72,0,0.0
آرتیمل,332,0,0.0
آرسی تویز,34,0,0.0
آرایشی بهداشتی بلوبری,192,0,0.0
آرایشی بهداشتی سحر,28,0,0.0
آرایشی بهداشتی نیکان,268,0,0.0
آریان نخ باف,346,0,0.0
آریسان کالا,26,0,0.0
آرین گلابتون,421,0,0.0
آژن,36,0,0.0
آفر ا استور,111,0,0.0
آقای سرگرمی,20,0,0.0
آماریسا,23,0,0.0
آلامیس,96,0,0.0
 فرش پاییزان,27,0,0.0
 فروشگاه سماوات,148,0,0.0
 رزگلد مارکت,155,0,0.0
 زمرد گالری,30,0,0.0
 ساغر مینا ,160,0,0.0
 بستان بوک,51,0,0.0
 تخت جمشید,59,0,0.0
  دریم کالا,32,0,0.0
 آری یلو,93,0,0.0
 منیصا استایل,45,0,0.0
 مهرسا    ,40,0,0.0
 هانا گالری,667,0,0.0
 کامک,83,0,0.0
 کلاریس هوم,54,0,0.0
 کوکوجم,28,0,0.0
آبتین,120,0,0.0
آبرنگستان,26,0,0.0
آذر پردازش,26,0,0.0
آذین مهر رضا,51,0,0.0
آذین نوین,30,0,0.0
آرا تن,131,0,0.0
آراد سنتر,99,0,0.0
آراساند,28,0,0.0
آتاهان,23,0,0.0
آتینی,61,0,0.0
آداگسا,29,0,0.0
اپشن ایران,24,0,0.0
ابزار دایسو,82,0,0.0
آی هلو,137,0,0.0
آیرین پلاست,108,0,0.0
آیمهر,82,0,0.0
آیمهر شاپ,35,0,0.0
آنا ائل,88,0,0.0
آوای مکتوب,33,0,0.0
آوای کتاب خوب,542,0,0.0
آویده شوز,52,0,0.0
آناهید زروان,154,0,0.0
آندیا بیوتی,66,0,0.0
آندیا مارکت,66,0,0.0
آنلاین24,359,0,0.0
آنکارا شاپ,21,0,0.0
آنیلا گالری,78,0,0.0
آوا تجارت,23,0,0.0
آوا تویز,27,0,0.0
اریدو,209,0,0.0
اس اس وی مرکزی ,411,0,0.0
اس وی اس,33,0,0.0
ارزانکده تهرانی,24,0,0.0
اثیر,21,0,0.0
اخگر کالا,29,0,0.0
ارکیده شب بو,52,0,0.0
اروند گلد,23,0,0.0
الیزیوم,380,0,0.0
الین دخت,21,0,0.0
الینا پخش ,78,0,0.0
السا بیوتی پلاس,90,0,0.0
السانا مانتو ولیعصر,915,0,0.0
الفبای عشق,262,0,0.0
الماس تجارت ایرانیان,416,0,0.0
المرا شاپ,21,0,0.0
اسمارت استایل,30,0,0.0
اسمارت تویز,431,0,0.0
اسنیپ,49,0,0.0
اسکن سنتر,36,0,0.0
افسرده,323,0,0.0
اگنس,22,0,0.0
الا مد مزون,47,0,0.0
پارسی اکسسوری,20,0,0.0
پارسیان آرت,107,0,0.0
پارسیان نیک هستی,877,0,0.0
پارلاکرفت,89,0,0.0
پاریس بیوتی,103,0,0.0
بومیکده,460,0,0.0
بهنو,91,0,0.0
پاپو هوم,179,0,0.0
پاتریک مون,94,0,0.0
پاتن جامه,525,0,0.0
پادینا شاپ,310,0,0.0
پارتاک سیتی,63,0,0.0
پارچه سرای آوا,111,0,0.0
پارچه سرای شهرک,24,0,0.0
پارچه سرای نکو,49,0,0.0
بلو راک,58,0,0.0
بلو فشن هاوس,20,0,0.0
بنویدی,93,0,0.0
بنیتا استور,118,0,0.0
به چاشنی فلاح,142,0,0.0
بهداشت گستران,105,0,0.0
بوتیک مونالیزا,20,0,0.0
بوراهه سنتر,295,0,0.0
بوستان سنقر,468,0,0.0
بیبی سیسو,84,0,0.0
بیتان,118,0,0.0
بیگ وال,27,0,0.0
بیوتی سنتر سحر,54,0,0.0
بیوتی لایم,30,0,0.0
بیوتی کده شاپ,227,0,0.0
بیورا,56,0,0.0
پائیزان,22,0,0.0
بازرگانی کمالی,67,0,0.0
بازی باکس,30,0,0.0
باساز,23,0,0.0
بذرک,58,0,0.0
براسیس,20,0,0.0
بازرگانی نور,26,0,0.0
بست دکور,187,0,0.0
برنز پیشرو,67,0,0.0
برکینگ شاپ,30,0,0.0
برگ و بو,133,0,0.0
برمازیا,88,0,0.0
برساد برشاد,154,0,0.0
بازرگانی ساراوا,54,0,0.0
بازرگانی سانای,103,0,0.0
بازرگانی سلامت پوست,73,0,0.0
بازرگانی فدائی,45,0,0.0
بازرگانی مهوان,648,0,0.0
بازرگانی پارس تجارت,477,0,0.0
باف لند,35,0,0.0
بافدنیوم,22,0,0.0
بامداد سلامت,60,0,0.0
بانک دیجیتال ایران,350,0,0.0
باوین شاپ,117,0,0.0
باکسیتو,52,0,0.0
بایمارکت,24,0,0.0
ایران همتا,189,0,0.0
ایرانکتاب,1756,0,0.0
ایرانیاز,49,0,0.0
ایرانیان همراه,196,0,0.0
ایس کالا,36,0,0.0
ایستگاه مد,99,0,0.0
ایلان شاپ,29,0,0.0
اینتکس کالا,64,0,0.0
ایوان دیجیتال,31,0,0.0
ایکیا شاپ,20,0,0.0
ای میکاپ استور,388,0,0.0
ایده ناب,90,0,0.0
ایران  استودیو,78,0,0.0
ایران سنتر تحریر,21,0,0.0
ایران فامیلی شاپ,20,0,0.0
ایران ملودیک,85,0,0.0
بارمان دکور,1898,0,0.0
بازار ارکیده,51,0,0.0
بازار باشه,91,0,0.0
بازارتحریر,28,0,0.0
بازرگانی آدینه,60,0,0.0
بازرگانی آرایشی ایمان,23,0,0.0
بازرگانی آوای ماندگار,35,0,0.0
بازرگانی جهانگرد,20,0,0.0
بازرگانی حرم,52,0,0.0
بازرگانی روز ایران,49,0,0.0
باخک,29,0,0.0
بادیزلند,21,0,0.0
انتشارات صدرا آثار استاد مطهری,78,0,0.0
انتشارات گوهردانش,152,0,0.0
انعام,22,0,0.0
انگشت دونه,37,0,0.0
انیس گالری,20,0,0.0
ام اند او,168,0,0.0
امنیت پلاس,25,0,0.0
امیر احسان,33,0,0.0
امیر بیوتی,170,0,0.0
امیرست,25,0,0.0
امیرو کالا,59,0,0.0
ان سی نو,143,0,0.0
انتشارات آواز,267,0,0.0
انتشارات باوند,124,0,0.0
انتشارات برف,179,0,0.0
اکسسوری ماهو ,108,0,0.0
اکسسوری هیما,45,0,0.0
اکسسوری ایلماز,29,0,0.0
اورال کلینیک,148,0,0.0
اوراینکو,26,0,0.0
اورز,56,0,0.0
اوریگامی,206,0,0.0
اوژن شاپ,33,0,0.0
اولیوروبر,33,0,0.0
اوکالیپتوس,20,0,0.0
اوکینری ,25,0,0.0
اویز موزیکال تخت درنیکا,31,0,0.0
اکتیو اسپرت,43,0,0.0
کفش شهرام طب,20,0,0.0
کوه مان,93,0,0.0
کوک مک پلاس,31,0,0.0
کلسیمیسی,140,0,0.0
کلمبیا استور,56,0,0.0
کلیپس و کش مو,49,0,0.0
کندا چرم,26,0,0.0
کنسولک,495,0,0.0
کنکور طلائی,32,0,0.0
کوتکا,1009,0,0.0
کوچه کتاب استور,2226,0,0.0
کودک سیتی,23,0,0.0
کیانا بوتیک,50,0,0.0
کیتز,36,0,0.0
کیتی استور,50,0,0.0
کیدز شاپ یاسمین,49,0,0.0
کیریستین بیوتی,85,0,0.0
کیسان  آذین,24,0,0.0
کیف و کفش صاد,467,0,0.0
کیلا ترک,37,0,0.0
کیمیا استور,641,0,0.0
کینگ وایت,184,0,0.0
یاساطب,45,0,0.0
یوتی شاپ,136,0,0.0
فروشگاه شهر خورشید,25,0,0.0
فروشگاه سیسمونی آرمین,22,0,0.0
فروشگاه سیبچه,23,0,0.0
فروشگاه نگین سیستم,23,0,0.0
فروشگاه نورینه,66,0,0.0
فروشگاه میرکالا,930,0,0.0
فروشگاه میلاد مجید,150,0,0.0
فروشگاه مینروا,44,0,0.0
فروشگاه رخسار سلامت,30,0,0.0
فروشگاه رزتی گالری,27,0,0.0
فروشگاه رقابتی ,26,0,0.0
فروشگاه رنگاب,66,0,0.0
فروشگاه زانی,76,0,0.0
فایننس,139,0,0.0
فردا کالا,59,0,0.0
فردزند,24,0,0.0
فروشگاه دلسی و رونکاتو,206,0,0.0
فروشگاه دنیای بازی,179,0,0.0
فروشگاه دولایک,26,0,0.0
فروشگاه کیچن,99,0,0.0
فروشگاه یشیل,35,0,0.0
فرکام,203,0,0.0
فروشگاه گالری شفق,149,0,0.0
فروشگاه گالری مقدم,115,0,0.0
فروشگاه وزان,25,0,0.0
فروشگاه ویهان کوچولو,34,0,0.0
فروشگاه نیکادل,52,0,0.0
فروشگاه هم تاس,21,0,0.0
فروشگاه هنر افق,40,0,0.0
گالرى دوقلوها,23,0,0.0
گالری  هزار و یک فرش,324,0,0.0
گالری آراد تابلو,46,0,0.0
گالری آرایشی رضا,106,0,0.0
گاتهام,47,0,0.0
گارمنتز,72,0,0.0
فن آرت,46,0,0.0
فلوراکالا,333,0,0.0
قرن بیست و یک,42,0,0.0
قشم اسپورت,23,0,0.0
قصر پریا,200,0,0.0
قفسه و نردبان رایکا,75,0,0.0
گالری دربار,55,0,0.0
گالری جاده ابریشم,50,0,0.0
گالری جواهر ماندگار,27,0,0.0
گالری چرم جانان,71,0,0.0
گالری حسن پور,21,0,0.0
گالری به آرا,29,0,0.0
گالری پری سیما,97,0,0.0
گالری پوشاک آنا,59,0,0.0
گالری آی پارا,22,0,0.0
گالری ارگ,25,0,0.0
گالری بازی,27,0,0.0
گالری برگ سبز,25,0,0.0
گالری صادقی,45,0,0.0
گالری عطر ایران,43,0,0.0
گالری عطوش,26,0,0.0
گالری عطوفی,27,0,0.0
گالری دیان,33,0,0.0
گالری رویال کلاسیک,53,0,0.0
گالری ریتون,22,0,0.0
گالری زردخت,74,0,0.0
گالری لیدیا,178,0,0.0
گالری ماسالند,34,0,0.0
گالری مرلیا,88,0,0.0
گالری ملک زاده,96,0,0.0
گالری ناصر,25,0,0.0
گالری نسیم,118,0,0.0
گالری نقش جهان,32,0,0.0
گالری نگارینو,21,0,0.0
گالری ساعت ساز,25,0,0.0
گالری علیزاده کرج,26,0,0.0
گالری فرش لطفی,58,0,0.0
گالری هدیه کارن,65,0,0.0
گالری هنر و کیمیا,719,0,0.0
گالری هنری نگارینه,74,0,0.0
گلدن ریور,127,0,0.0
گلدن هلیکس,37,0,0.0
گلوریا لایت,51,0,0.0
گالری کلبه بلوط,37,0,0.0
گالری کیف تالی,34,0,0.0
گالری یاقوت درخشان,25,0,0.0
گدیر,96,0,0.0
گرالت,111,0,0.0
گرندآفس,145,0,0.0
گره کارپت,563,0,0.0
گروه آلفا الکترونیک,26,0,0.0
گروه بازرگانی عسگری,81,0,0.0
گروه تولیدی لیلپار دیزاین,44,0,0.0
گروه هنری سارنگ,64,0,0.0
گروه هنری سرنا,415,0,0.0
گروه هنری لیلیان,58,0,0.0
گروه هنری مهر,31,0,0.0
گریت سان,68,0,0.0
گرین پوینت,36,0,0.0
گسترش و توسعه تحقیقات تهران,23,0,0.0
گل برچک,34,0,0.0
گلچینه,34,0,0.0
سالی پک,188,0,0.0
سان واچ,84,0,0.0
سلام دوست من,70,0,0.0
سحوری,21,0,0.0
سریتا طب,65,0,0.0
سعدی,86,0,0.0
سفال کده سپهر,44,0,0.0
ژینا کالا,92,0,0.0
ژله ژورنال ,39,0,0.0
ژوآن,29,0,0.0
ساچو,32,0,0.0
ساده کارپت استور,30,0,0.0
سارنگ بوک,187,0,0.0
سبد مارکت,43,0,0.0
سبز آلود,22,0,0.0
سپادا,30,0,0.0
سپنتا شاپ,91,0,0.0
سپنتا نوین فرداد,91,0,0.0
سپهر الماس پاسارگاد,36,0,0.0
سپهر ایران,35,0,0.0
سو مو استور,491,0,0.0
سوبا,36,0,0.0
سلندیون,35,0,0.0
سنبادکس,121,0,0.0
سنجاق مارکت,70,0,0.0
سیتی اسپورت,26,0,0.0
سویل آرت,45,0,0.0
شاهدخت ایرانی,96,0,0.0
شاهوارشاپ,23,0,0.0
شاهین نوین,81,0,0.0
شاین سیلور,165,0,0.0
شاینی استاف,139,0,0.0
سیتی واچ,78,0,0.0
سیحون بوتیا,39,0,0.0
سیسمونی هپی مپی,54,0,0.0
سیلور وینچستر,499,0,0.0
سیلورجات,186,0,0.0
سیما پخش,117,0,0.0
سینا خواب,212,0,0.0
سینستر,31,0,0.0
شاپ بوم,23,0,0.0
شاپ کلین,158,0,0.0
صنایع دستی آبانا,23,0,0.0
صنایع دستی شبرنگ ,67,0,0.0
طلوع بیوتی,259,0,0.0
طهرانی کیدز  شاپ,26,0,0.0
طلای پر,26,0,0.0
صنایع نوین آروند,70,0,0.0
صنعت ماندگار,27,0,0.0
صورتی سنتر,49,0,0.0
طاها سنتر,42,0,0.0
طب برتر,47,0,0.0
طب چرم,22,0,0.0
طب گستر آتیه,53,0,0.0
طبیعت شاپ,24,0,0.0
طبیعت مارکت مرکزی,79,0,0.0
طراحی ستا ره,62,0,0.0
شادی نوران,98,0,0.0
شمع ویهان,321,0,0.0
شبکه پخش دید برتر,511,0,0.0
شرکت آنلاین نقره,87,0,0.0
شرکت عصر آتی,31,0,0.0
شکوفه لند,21,0,0.0
شکوه زیبایی,22,0,0.0
شیمر بیوتی,25,0,0.0
شیک ترین ها,385,0,0.0
شیکا پا,135,0,0.0
عطر ایریش,61,0,0.0
عطر و رنگ,150,0,0.0
عطف گالری,180,0,0.0
عمده خرده,69,0,0.0
غزل و مانی,40,0,0.0
فارگو,22,0,0.0
فاضل مدیا,55,0,0.0
فام گالری ,101,0,0.0
فامو دیزاین,208,0,0.0
فامیلی شاپینگ,107,0,0.0
فانتازیو پلاس,132,0,0.0
فروشگاه استایل کالا,62,0,0.0
فروشگاه انصاری بازار,56,0,0.0
فروشگاه اومیروس,43,0,0.0
فروشگاه باربد مرکزی,23,0,0.0
فروشگاه بانیبو,263,0,0.0
فروشگاه برندو,492,0,0.0
فروشگاه برنگی ,25,0,0.0
فروشگاه بزرگ البرز,68,0,0.0
فروشگاه پامکا,69,0,0.0
فروشگاه پاکدامن,40,0,0.0
فروشگاه پوتک,308,0,0.0
فروشگاه توپ تاپ,80,0,0.0
فرست دیت استایل,41,0,0.0
فرش آراد,20,0,0.0
فرش افرند,156,0,0.0
فرش حاجی محمد,77,0,0.0
فرش حریر ایران زمین,584,0,0.0
فرش راوی,22,0,0.0
فرفوژه,22,0,0.0
فرگل گالری,111,0,0.0
فرنا بیوتی,237,0,0.0
فرناد گالری,42,0,0.0
مدرن مالز,103,0,0.0
مت و پت تویز,30,0,0.0
متین تجارت پایدار,373,0,0.0
مجتمع فنی میرعلوی,45,0,0.0
مریخ ایرانیان کیش,228,0,0.0
مزون وزین,22,0,0.0
مستر وودی,74,0,0.0
مستربازی,25,0,0.0
مشهد بیوتی,30,0,0.0
مشهد دنتال,37,0,0.0
مشهوری,40,0,0.0
مای هوم پک,39,0,0.0
مایا دخت,26,0,0.0
مایلر,323,0,0.0
ماه نینی,50,0,0.0
ماهان پرفیوم,154,0,0.0
ماهان ماهرو,37,0,0.0
ماهور ملودی,47,0,0.0
مجموعه واریوس,20,0,0.0
محصولات ارگانیک میرزا,23,0,0.0
محصولات پاک فیروزه,71,0,0.0
محصولات خانگی روستا,68,0,0.0
محصولات سالم بهارنارنج,58,0,0.0
محصولات غذایی مارجان,197,0,0.0
محصولات فرهنگی نور کوثر,30,0,0.0
محمودی راد,22,0,0.0
مد برتر ایرانی,1854,0,0.0
گنجینه ساعت استار,23,0,0.0
گول چیچک,36,0,0.0
گیچ گالری,22,0,0.0
گیرای,148,0,0.0
گیلدا سفید,155,0,0.0
لابراتوار نلا,100,0,0.0
لاچو و باراج من,247,0,0.0
لاو استور,209,0,0.0
لطیف آفرینان وسام آسا,85,0,0.0
لگو تهران,21,0,0.0
لوازم التحریر مبین,23,0,0.0
لوازم تحریر قائم,29,0,0.0
لوازم خواب نوزاد شایلی,72,0,0.0
لوتوس آزاد,117,0,0.0
لاولی لایف,73,0,0.0
لوکس لیف,116,0,0.0
لونی ماژ,25,0,0.0
لیلیوم گلد,52,0,0.0
لیمو استور,123,0,0.0
لیاناهوم,35,0,0.0
لینوزین,298,0,0.0
لیور مارکت,196,0,0.0
لیورجی,57,0,0.0
لیوسا مزون,153,0,0.0
ماخ,41,0,0.0
ماد بانو,80,0,0.0
مارکوبانیک,111,0,0.0
ماگت بازار,36,0,0.0
مامزی,166,0,0.0
ماموتی,62,0,0.0
مانترا مارکت,56,0,0.0
ملورادبوتیک,81,0,0.0
ملکا تک,42,0,0.0
موسیقی درویشخان,43,0,0.0
مورنینگ مارکت,35,0,0.0
موسسه نوین بصیر,58,0,0.0
میفان,95,0,0.0
میلاد مارکت,46,0,0.0
میناسرای سیمرغ,21,0,0.0
مینزیفا,26,0,0.0
مینیاتور پازل,36,0,0.0
مینیمال طور,46,0,0.0
نابسل,543,0,0.0
مشیرخلوت,41,0,0.0
مدنگار,34,0,0.0
مدیالندز,95,0,0.0
مدیکال,78,0,0.0
مروارید سبز آسیا,24,0,0.0
مرکز پخش مونترال,22,0,0.0
مرکز چمدان چرم آرا,117,0,0.0
مهر هانی,29,0,0.0
مهران واچ,41,0,0.0
مهرمن,72,0,0.0
مهوا دارو,35,0,0.0
مهیاس پلاس,81,0,0.0
موبایل راک,57,0,0.0
موبیکا,33,0,0.0
نویا مد,37,0,0.0
نوید ارتو,136,0,0.0
نوین رایانه جانبی,370,0,0.0
نکیسا,37,0,0.0
نلا استور,50,0,0.0
نمایشگاه کتاب,395,0,0.0
نو آوران سلامت,83,0,0.0
نورآ,34,0,0.0
نوردخت شاپ,30,0,0.0
نگار تابان,62,0,0.0
نگین آرمان تجارت,39,0,0.0
نقش اندیش,28,0,0.0
ناوالس,132,0,0.0
ناستالیا,24,0,0.0
مون لایت بیوتی,76,0,0.0
میر تحریر,41,0,0.0
میرزاخانیان آنی تک,24,0,0.0
میرهانا,23,0,0.0
ندای جاویدان,66,0,0.0
نرسیس مارکت,53,0,0.0
نزدیک,76,0,0.0
نساجی فردوس,87,0,0.0
نسرین شاپ,76,0,0.0
نشر پرتقال,109,0,0.0
نشر فرازمین,108,0,0.0
نشر متخصصان,171,0,0.0
نقره صدر,208,0,0.0
کیش محمد تجارت,22,0,0.0
کیان بیوتی,338,0,0.0
کیدتو,25,0,0.0
کیدز فانی تویز,45,0,0.0
کوزالند,55,0,0.0
کفش پاشیک,84,0,0.0
کالکشن شیرین,272,0,0.0
یونیک واچ,160,0,0.0
یک درجه فراتر,40,0,0.0
یوز تریکو,84,0,0.0
یوفوریو شاپ,83,0,0.0
کیمدی شاپ,127,0,0.0
کیوت استار,526,0,0.0
یارا میس,28,0,0.0
یارطلا,22,0,0.0
یاسمن دیزاین,24,0,0.0
کافه جانبی ایران,155,0,0.0
کالا پخش ایرانیان,241,0,0.0
کالا تخفیف,70,0,0.0
کافه هنرمند,27,0,0.0
کالا کده,34,0,0.0
کالافان,38,0,0.0
کالاکو,1711,0,0.0
کالای خواب پروشات,3751,0,0.0
کالای نیک شاپ,28,0,0.0
کالایاری,152,0,0.0
کامودیتی,32,0,0.0
کانون علمی نخبگان شریف,102,0,0.0
کاکتوس آبی,61,0,0.0
کتاب آرش,29,0,0.0
کتاب پارسی,68,0,0.0
کتاب شمشاد,20,0,0.0
کتاب واحه,216,0,0.0
کتابفروشی زندگی,27,0,0.0
کتابفروشی کودک,57,0,0.0
کتابهای خوب,29,0,0.0
کرابو,7295,0,0.0
کریزی توی,24,0,0.0
کمال اندیشه,394,0,0.0
کمپانی آذین بهدیس,30,0,0.0
