seller,total_products,fake_count,fake_percent
بازرگانی پدر و پسر,92,9,9.78
نوین ایده,41,4,9.76
قصر ماه آرا,72,7,9.72
گالری هارمونیک,62,6,9.68
تولیدی دخملی,310,30,9.68
بیبی دریمز,31,3,9.68
فروشگاه اوپالین,62,6,9.68
ریبارشاپ,31,3,9.68
استایلوکس,31,3,9.68
پخش کالای نوربخش,31,3,9.68
کفش تخت جمشید,31,3,9.68
شهر جواهر,52,5,9.62
کوه کالا,73,7,9.59
ماوی مدل,219,21,9.59
لاچینی,157,15,9.55
گیشا اسپورت,84,8,9.52
آیگین نیل,21,2,9.52
تن یار اسپرت,42,4,9.52
آیریا استور,21,2,9.52
سیکاس,21,2,9.52
شهر کفش,560,53,9.46
شیک و پیک مارکت,127,12,9.45
میکو شاپ,795,75,9.43
مخمل شاپ,53,5,9.43
بازرگانی انیس,85,8,9.41
جامه یاب,629,59,9.38
برندو,32,3,9.38
فروشگاه کسپر,193,18,9.33
پرشيا,161,15,9.32
لوازم التحریر دیانا,43,4,9.3
آدیان,43,4,9.3
ریژاو,43,4,9.3
آلند گالری,431,40,9.28
فرهنگ زبان,65,6,9.23
راه اندیشان نوین,98,9,9.18
آرشا مارک,263,24,9.13
فروشگاه کالای آرمانی,22,2,9.09
زبان آموز,55,5,9.09
ایران برند پوشان,33,3,9.09
مد روز استایل,22,2,9.09
آفر استور,22,2,9.09
تک مونده,22,2,9.09
كفش حافظ,33,3,9.09
دانش سرا,33,3,9.09
پت نام,22,2,9.09
زامیاد,863,78,9.04
وال24,112,10,8.93
انگلیش لند,135,12,8.89
هاکر برفین,45,4,8.89
بست بای اورجینال,158,14,8.86
شیک و زیبا,136,12,8.82
سالیکو بوتیک,34,3,8.82
فروشگاه جی کو,34,3,8.82
هانا گالری ,752,66,8.78
سعادت استایل,114,10,8.77
نیما شاپینگ مارکت,160,14,8.75
النام,80,7,8.75
کالی پا,297,26,8.75
هکس ایران,653,57,8.73
عرصه البرز,149,13,8.72
تارادیس باف,195,17,8.72
بوشیکا,23,2,8.7
باشیدا,69,6,8.7
آران گالری,46,4,8.7
تولیدی کیف و چمدان محمد,23,2,8.7
کالای برتر ایلیا ,23,2,8.7
عینک ونوسا,69,6,8.7
روسری و شال بهشال,58,5,8.62
ورزش شو,58,5,8.62
مزون مرکا تهران,35,3,8.57
کالا پایتخت,47,4,8.51
فراهانی فر,259,22,8.49
شیبا شات,59,5,8.47
مثلث برمودا,71,6,8.45
گالری هستی و هلنا,251,21,8.37
شیراز اسپورت,36,3,8.33
محصولات هنری الینا,36,3,8.33
وحیدالکترونیک,24,2,8.33
سراج باشی,84,7,8.33
نهال دونه,36,3,8.33
نباتی استور,36,3,8.33
تی اچ ام شاپ,24,2,8.33
گالری هنری شادی,85,7,8.24
پوشاک مجیک,49,4,8.16
ناری سنتر,245,20,8.16
حجره آنلاین اسپند,49,4,8.16
آقای برند ,86,7,8.14
ایده پردازان مارال,172,14,8.14
فروشگاه راض,37,3,8.11
شبناز گالری,37,3,8.11
بی بی باف ترنج,74,6,8.11
حورا شاپ,248,20,8.06
چی چی لاس,124,10,8.06
فردوس کیان,62,5,8.06
مادام رز استور,87,7,8.05
گالری مروند,324,26,8.02
پرنیان تجارت,25,2,8.0
عیار کالا,25,2,8.0
فراهان گالری,25,2,8.0
آرتان لند,25,2,8.0
گالری شانلی پلاس,151,12,7.95
لوکس دیانا,114,9,7.89
سراج کمپ,38,3,7.89
عینک کاریان,127,10,7.87
پانته گالری,140,11,7.86
مد پوش,51,4,7.84
آراسته,51,4,7.84
فمیلی استور,1071,84,7.84
گالری آنلاین مستر گلاسیز,115,9,7.83
فسقل خان,64,5,7.81
تالین کالا,282,22,7.8
ماییلدا,1857,144,7.75
اژمان,194,15,7.73
رایکا بنیط شایسته,363,28,7.71
سراجی مهیار,26,2,7.69
کیوآر,91,7,7.69
زمین کالا,39,3,7.69
نولوشاپ,39,3,7.69
کارااکال,52,4,7.69
نیکادل,52,4,7.69
کتابسرای الیکا,352,27,7.67
فروشگاه هورشید,443,34,7.67
شایلی مد نو,118,9,7.63
کاندید اسپرت,1893,144,7.61
سهند بوک,79,6,7.59
کفاش مشهد,79,6,7.59
جوراب آکام,79,6,7.59
پریزانس,185,14,7.57
صحبا,304,23,7.57
بلوط نارنجی,106,8,7.55
تولید و پخش مهرداد,439,33,7.52
دکورخونه,40,3,7.5
نوین هدف,54,4,7.41
زیگزاگ نینییون لند,27,2,7.41
شیک کده,135,10,7.41
عاطیما,27,2,7.41
اطلس استایلیش,933,68,7.29
شهر صندل ایران,55,4,7.27
نوین کالا,11341,822,7.25
تولیدی فاین اند فیت,305,22,7.21
اسنو,848,61,7.19
آذران پوشاک,195,14,7.18
بازرگانی آوان,168,12,7.14
پرسا گالری,56,4,7.14
پوشاک کوروش,42,3,7.14
بهاریا,28,2,7.14
ساتوشی,42,3,7.14
سنگ ناب,70,5,7.14
بازرگانی مینال,28,2,7.14
بابانوئل لند,28,2,7.14
